This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:11:42

This file contains the kymograph results for the parameter Y_f:
primary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote014_SpQP_spq_210215_204725
0.000000	20.999298
0.550000	20.999298
1.100000	20.999298
1.650000	27.998749
2.200000	27.998749
2.750000	33.000092
3.300000	33.000092
3.850000	33.000092
4.400000	33.000092
4.950000	33.000092
5.500000	33.000092
6.050000	23.999496
6.600000	23.999496
7.150000	16.000992
7.700000	14.998901
8.250000	14.998901
8.800000	14.998901
9.350000	27.998749
9.900000	27.998749
10.450000	27.998749
11.000000	27.998749
11.550000	17.000046
12.100000	17.000046
12.650000	17.000046
13.200000	7.000397
13.750000	7.000397
14.300000	7.000397
14.850000	1.999054
15.400000	1.999054
15.950000	1.999054
16.500000	1.999054
17.050000	1.999054
17.600000	1.999054
18.150000	1.999054
18.700000	1.999054
19.250000	1.999054
19.800000	1.999054
20.350000	1.999054
20.900000	1.999054
21.450000	1.999054
22.000000	1.999054
22.550000	1.999054
23.100000	1.999054
23.650000	1.999054
24.200000	1.999054
24.750000	1.999054
25.300000	1.999054
25.850000	1.999054
26.400000	1.999054
26.950000	1.999054
27.500000	1.999054
28.050000	1.999054
28.600000	1.999054
29.150000	1.999054
29.700000	1.999054
30.250000	1.999054
30.800000	1.999054
31.350000	1.999054
31.900000	1.999054
32.450000	1.999054
33.000000	1.999054
33.550000	1.999054
34.100000	1.999054
34.650000	1.999054
35.200000	1.999054
35.750000	1.999054
36.300000	1.999054
36.850000	1.999054
37.400000	1.999054
37.950000	1.999054
38.500000	1.999054
39.050000	1.999054
39.600000	1.999054
40.150000	1.999054
40.700000	1.999054
41.250000	1.999054
41.800000	1.999054
42.350000	1.999054
42.900000	1.999054
43.450000	1.999054
44.000000	1.999054
44.550000	1.999054
45.100000	1.999054
45.650000	1.999054
46.200000	1.999054
46.750000	1.999054
47.300000	1.999054
47.850000	1.999054
48.400000	1.999054
48.950000	1.999054
49.500000	1.999054
50.050000	1.999054
50.600000	10.999649
51.150000	10.999649
51.700000	7.000397
52.250000	7.000397
52.800000	10.999649
53.350000	10.999649
53.900000	10.999649
54.450000	10.999649
55.000000	10.999649
55.550000	10.999649
56.100000	10.999649
56.650000	10.999649
57.200000	10.999649
57.750000	3.001144
58.300000	3.001144
58.850000	3.001144
59.400000	3.001144
59.950000	3.001144
60.500000	10.999649
61.050000	10.999649
61.600000	10.999649
62.150000	10.999649
62.700000	10.999649
63.250000	10.999649
63.800000	10.999649
64.350000	10.999649
64.900000	10.999649
65.450000	10.999649
66.000000	10.999649
66.550000	10.999649
67.100000	10.999649
67.650000	10.999649
68.200000	10.999649
68.750000	10.999649
69.300000	10.999649
69.850000	10.999649
70.400000	10.999649
70.950000	10.999649
71.500000	10.999649
72.050000	10.999649
72.600000	10.999649
73.150000	10.999649
73.700000	10.999649
74.250000	10.999649
74.800000	10.999649
75.350000	10.999649
75.900000	10.999649
76.450000	10.999649
77.000000	10.999649
77.550000	10.999649
78.100000	3.001144
78.650000	3.001144
79.200000	3.001144
79.750000	3.001144
80.300000	3.001144
80.850000	3.001144
81.400000	3.001144
81.950000	3.001144
82.500000	3.001144
83.050000	3.001144
83.600000	3.001144
84.150000	3.001144
84.700000	3.001144
85.250000	3.001144
85.800000	3.001144
86.350000	3.001144
86.900000	3.001144
87.450000	3.001144
88.000000	3.001144
88.550000	3.001144
89.100000	3.001144
89.650000	3.001144
90.200000	3.001144
90.750000	3.001144
91.300000	3.001144
91.850000	3.001144
92.400000	3.001144
92.950000	3.001144
93.500000	3.001144
94.050000	3.001144
94.600000	3.001144
95.150000	3.001144
95.700000	3.001144
96.250000	3.001144
96.800000	3.001144
97.350000	3.001144
97.900000	3.001144
98.450000	3.001144
99.000000	3.001144
99.550000	3.001144
100.100000	3.001144
100.650000	3.001144
101.200000	3.001144
101.750000	3.001144
102.300000	3.001144
102.850000	3.001144
103.400000	3.001144
103.950000	3.001144
104.500000	3.001144
105.050000	3.001144
105.600000	3.001144
106.150000	3.001144
106.700000	3.001144
107.250000	3.001144
107.800000	3.001144
108.350000	3.001144
108.900000	3.001144
109.450000	3.001144
110.000000	3.001144
110.550000	3.001144
