This file was generated using SpermQ_Evaluator, a java application by Jan Niklas Hansen (© 2017 - 2020) (for credits see: https://github.com/IIIImaging/SpermQ_Evaluator).
Date of processing:	2021-02-15	21:12:38

This file contains the kymograph results for the parameter Z_f:
secondary frequency	Results Minimum:
arc length	Rabbit delta 78 heterozygote022_SpQP_spq_210215_210348
0.000000	7.000397
0.550000	7.501442
1.100000	7.999451
1.650000	7.999451
2.200000	7.999451
2.750000	3.001144
3.300000	3.001144
3.850000	3.001144
4.400000	6.001343
4.950000	6.001343
5.500000	6.001343
6.050000	6.001343
6.600000	7.000397
7.150000	3.001144
7.700000	3.001144
8.250000	3.001144
8.800000	3.001144
9.350000	3.001144
9.900000	3.001144
10.450000	3.001144
11.000000	3.001144
11.550000	3.001144
12.100000	3.001144
12.650000	7.999451
13.200000	7.999451
13.750000	8.998505
14.300000	8.998505
14.850000	7.999451
15.400000	7.999451
15.950000	7.999451
16.500000	7.000397
17.050000	7.000397
17.600000	7.000397
18.150000	7.999451
18.700000	7.999451
19.250000	7.999451
19.800000	7.999451
20.350000	7.999451
20.900000	8.998505
21.450000	8.998505
22.000000	8.998505
22.550000	8.998505
23.100000	8.998505
23.650000	8.998505
24.200000	14.998901
24.750000	17.000046
25.300000	17.000046
25.850000	16.000992
26.400000	16.000992
26.950000	8.998505
27.500000	8.998505
28.050000	8.998505
28.600000	8.998505
29.150000	8.998505
29.700000	8.998505
30.250000	8.998505
30.800000	8.998505
31.350000	16.000992
31.900000	17.000046
32.450000	17.000046
33.000000	17.000046
33.550000	17.000046
